title,director,genre,year,rating,synopsis
The Shawshank Redemption,Frank Darabont,drama,1994,9.3,Two imprisoned men bond over a number of years finding solace and eventual redemption through acts of common decency.
The Godfather,Francis Ford Coppola,drama,1972,9.2,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
The Dark Knight,Christopher Nolan,action,2008,9.0,When the menace known as the Joker wreaks havoc on Gotham the Dark Knight must confront his greatest test.
Pulp Fiction,Quentin Tarantino,thriller,1994,8.9,The lives of two mob hitmen a boxer a gangster and his wife intertwine in four tales of violence and redemption.
Inception,Christopher Nolan,sci-fi,2010,8.8,A thief who steals corporate secrets through dream-sharing technology is given the task of planting an idea.
Interstellar,Christopher Nolan,sci-fi,2014,8.7,When Earth becomes uninhabitable a team of explorers travels through a wormhole in search of a new home.
The Matrix,Lana Wachowski,sci-fi,1999,8.7,A computer hacker learns about the true nature of his reality and his role in the war against its controllers.
Forrest Gump,Robert Zemeckis,drama,1994,8.8,The life story of a simple man who unwittingly influences several historical events.
Toy Story,John Lasseter,animation,1995,8.3,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy.
Goodfellas,Martin Scorsese,drama,1990,8.7,The story of Henry Hill and his life in the mob covering his relationship with his wife and his mob partners.
Gladiator,Ridley Scott,action,2000,8.5,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family.
The Silence of the Lambs,Jonathan Demme,thriller,1991,8.6,A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer.
Schindlers List,Steven Spielberg,drama,1993,9.0,In German-occupied Poland during World War II industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce.
Parasite,Bong Joon-ho,thriller,2019,8.5,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
Spirited Away,Hayao Miyazaki,animation,2001,8.6,During her familys move to the suburbs a sullen 10-year-old girl wanders into a world ruled by gods witches and spirits.
The Green Mile,Frank Darabont,drama,1999,8.6,The lives of guards on Death Row are affected by one of their charges a black man accused of child murder.
The Prestige,Christopher Nolan,drama,2006,8.5,After a tragic accident two stage magicians engage in a bitter battle to create the ultimate illusion.
Whiplash,Damien Chazelle,drama,2014,8.5,A promising young drummer enrolls at a music conservatory where an abusive instructor will stop at nothing.
El Secreto de sus Ojos,Juan Jose Campanella,thriller,2009,8.2,A retired legal counselor writes a memoir about his past with a retired judge.
Amores Perros,Alejandro Gonzalez Inarritu,drama,2000,8.1,A car accident brings together three interconnected stories of love and betrayal.
Roma,Alfonso Cuaron,drama,2018,7.7,A story that chronicles a year in the life of a middle-class family in Mexico City in the early 1970s.
El Laberinto del Fauno,Guillermo del Toro,drama,2006,8.2,In the falangist Spain of 1944 a bookish young girl dreams she travels to a mythical world.
La La Land,Damien Chazelle,romance,2016,8.0,While navigating their careers in Los Angeles a pianist and an actress fall in love while attempting to reconcile their aspirations.
The Grand Budapest Hotel,Wes Anderson,comedy,2014,8.1,A writer encounters the owner of an aging high-class hotel who recounts his early years serving as a lobby boy.
Superbad,Greg Mottola,comedy,2007,7.6,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
Borat,Larry Charles,comedy,2006,7.3,Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.
Get Out,Jordan Peele,horror,2017,7.7,A young African-American visits his white girlfriends parents during a weekend getaway.
The Conjuring,James Wan,horror,2013,7.5,Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
A Quiet Place,John Krasinski,horror,2018,7.5,In a post-apocalyptic world a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.
Hereditary,Ari Aster,horror,2018,7.3,A grieving family is haunted by tragic and disturbing occurrences.
Blade Runner 2049,Denis Villeneuve,sci-fi,2017,8.0,Young Blade Runner Ks discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard.
Arrival,Denis Villeneuve,sci-fi,2016,7.9,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.
Mad Max Fury Road,George Miller,action,2015,8.1,In a post-apocalyptic wasteland a woman rebels against a tyrannical ruler in search for her homeland.
John Wick,Chad Stahelski,action,2014,7.4,An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything.
The Departed,Martin Scorsese,thriller,2006,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating a Boston gang.
Oldboy,Park Chan-wook,thriller,2003,8.3,After being kidnapped and imprisoned for fifteen years Oh Dae-Su is released only to find that he must find his captor in five days.
Cinema Paradiso,Giuseppe Tornatore,romance,1988,8.5,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village.
Eternal Sunshine of the Spotless Mind,Michel Gondry,romance,2004,8.3,When their relationship turns sour a couple undergoes a medical procedure to have each other erased from their memories.
Her,Spike Jonze,romance,2013,8.0,In a near future a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.
WALL-E,Andrew Stanton,animation,2008,8.4,In the distant future a small waste-collecting robot inadvertently embarks on a space journey that will decide the fate of mankind.
Finding Nemo,Andrew Stanton,animation,2003,8.2,After his son is captured in the Great Barrier Reef and taken to Sydney a timid clownfish sets out on a journey to bring him home.
Inside Out,Pete Docter,animation,2015,8.1,After young Riley is uprooted from her Midwest life and moved to San Francisco her emotions conflict on how best to navigate a new city.
The Truman Show,Peter Weir,comedy,1998,8.2,An insurance salesman discovers his whole life is actually a reality TV show.
Groundhog Day,Harold Ramis,comedy,1993,8.0,A weatherman finds himself living the same day over and over again.
The Exorcist,William Friedkin,horror,1973,8.1,When a 12-year-old girl is possessed by a mysterious entity her mother seeks the help of two priests to save her.
Parasite,Bong Joon-ho,drama,2019,8.5,All unemployed Ki-taek and his family take peculiar interest in the wealthy Park family.
Burning,Lee Chang-dong,drama,2018,7.5,Jong-su bumps into a girl who used to live in the same neighborhood and soon finds himself entangled in a mysterious love triangle.
Shoplifters,Hirokazu Kore-eda,drama,2018,7.9,A family of small-time crooks takes in a child they find outside in the cold.
Cold War,Pawel Pawlikowski,romance,2018,7.5,In the 1950s a music director falls in love with a singer and tries to persuade her to flee communist Poland for France.
Lady Bird,Greta Gerwig,comedy,2017,7.4,In 2002 an artistically inclined 17-year-old girl comes of age in Sacramento California.
